timestamp,task_id,task_name,task_size,cycles_per_bit,deadline,src_node,dst_node,trust_score,execution_success,execution_time,energy_consumed,deadline_met,is_dst_malicious
1.0,0,t0,87,783,57,14,15,0.4703332185456035,True,68.7769040661078,0.8114070285988538,True,True
2.0,1,t1,30,113,60,0,12,0.46791200028424224,True,3.8402707759104007,0.32586468366254634,True,False
3.0,2,t2,80,402,30,8,13,0.44762445223743363,False,37.69440546444834,0.7684307190521918,False,False
4.0,3,t3,75,319,81,2,14,0.48142999623928334,True,21.046042056926456,0.8048561724358252,True,False
5.0,4,t4,14,277,35,13,9,0.46582370015042907,True,3.1702656039640185,0.14613570784960264,True,False
7.0,5,t5,23,801,68,2,24,0.5507293346401724,True,20.944864205744775,0.21428840526244505,True,False
8.0,9,t9,19,519,60,13,22,0.46883183031156495,True,10.41084372979362,0.17934346584092983,True,False
8.0,8,t8,55,379,21,7,8,0.5087094386603928,False,23.295533174877534,0.5942251502889826,False,False
8.0,10,t10,97,817,27,12,7,0.48762325645656,False,81.00371106735847,0.9306324476259223,False,False
8.0,6,t6,42,665,79,2,24,0.54912985905848,True,28.322172696830172,0.391153758415383,True,False
8.0,7,t7,24,113,88,20,21,0.5003499356408662,True,3.239024659660033,0.2229565029921899,True,False
12.0,11,t11,88,756,53,24,21,0.4448784243831999,False,77.22986335044007,0.9656796094925337,False,False
13.0,12,t12,29,605,22,23,20,0.4608106650537618,True,18.153088523139925,0.3181926767247717,True,True
14.0,13,t13,58,149,92,8,21,0.4486754142390738,True,7.819193870058365,0.5557303256114573,True,False
15.0,14,t14,21,932,40,23,20,0.4616566335708683,True,19.12137172821744,0.2032069779424981,True,True
15.0,15,t15,70,932,24,2,11,0.4531874179976548,False,72.11634693108333,0.7189801336783974,False,False
15.0,16,t16,31,499,95,9,19,0.5416982104587806,True,15.899075586939304,0.2918821074865156,True,True
18.0,17,t17,98,242,24,15,11,0.5279993641226662,True,20.52994752547253,1.0751631440203813,True,False
22.0,18,t18,60,241,33,20,21,0.5001051187462306,True,13.510435934485017,0.5684110186551522,True,False
29.0,19,t19,33,555,85,21,14,0.5177702057939861,True,18.178366911689924,0.3170853040462808,True,False
